Date,Open,High,Low,Close,Adj Close,Volume
2023-06-09,122.250000,123.760002,121.910004,122.230003,122.230003,23762500
2023-06-12,122.790001,124.050003,121.660004,123.639999,123.639999,28306400
2023-06-13,124.980003,125.160004,123.180000,123.830002,123.830002,22278300
2023-06-14,123.099998,124.050003,121.449997,123.669998,123.669998,30592300
2023-06-15,123.139999,125.459999,122.400002,125.089996,125.089996,35246300
2023-06-16,125.930000,126.110001,123.279999,123.529999,123.529999,45514000
2023-06-20,122.930000,124.570000,122.139999,123.099998,123.099998,26097500
2023-06-21,122.400002,122.660004,120.099998,120.550003,120.550003,30306300
2023-06-22,120.000000,123.239998,118.830002,123.150002,123.150002,26952200
2023-06-23,121.379997,122.790001,121.059998,122.339996,122.339996,34885300
2023-06-26,120.760002,122.000000,118.269997,118.339996,118.339996,33969900
2023-06-27,117.080002,119.080002,116.099998,118.330002,118.330002,39535900
2023-06-28,117.089996,120.389999,116.849998,120.180000,120.180000,27091400
2023-06-29,119.239998,120.059998,118.300003,119.099998,119.099998,24090900
2023-06-30,120.169998,121.080002,119.690002,119.699997,119.699997,29519700
2023-07-03,119.239998,120.190002,118.820000,119.900002,119.900002,14467900
2023-07-05,119.239998,122.610001,119.230003,121.750000,121.750000,27584800
2023-07-06,119.800003,120.300003,118.400002,120.110001,120.110001,24745200
2023-07-07,120.099998,121.050003,119.400002,119.480003,119.480003,21692600
2023-07-10,118.300003,118.309998,116.139999,116.449997,116.449997,35315200
2023-07-11,116.290001,117.709999,115.349998,117.139999,117.139999,23078800
2023-07-12,118.800003,120.330002,118.410004,118.930000,118.930000,30404400
2023-07-13,120.930000,124.830002,120.449997,124.540001,124.540001,44297900
2023-07-14,124.800003,126.779999,123.489998,125.419998,125.419998,33266800
2023-07-17,125.940002,127.099998,124.199997,124.650002,124.650002,25716200
2023-07-18,124.599998,124.680000,122.959999,123.760002,123.760002,26226400
2023-07-19,124.599998,125.180000,121.800003,122.029999,122.029999,37224000
2023-07-20,121.419998,124.089996,118.220001,119.199997,119.199997,37906800
2023-07-21,120.620003,120.989998,118.730003,120.019997,120.019997,72937900
2023-07-24,121.660004,123.000000,120.980003,121.529999,121.529999,29686100
2023-07-25,121.360001,123.150002,121.019997,122.209999,122.209999,52509600
2023-07-26,130.070007,130.979996,128.320007,129.270004,129.270004,61682100
2023-07-27,131.669998,133.240005,128.789993,129.399994,129.399994,44952100
2023-07-28,130.779999,133.740005,130.570007,132.580002,132.580002,36591200
2023-07-31,132.729996,133.529999,131.779999,132.720001,132.720001,28055500
2023-08-01,130.779999,132.630005,130.679993,131.550003,131.550003,23166800
2023-08-02,129.449997,130.089996,127.559998,128.380005,128.380005,26273300
2023-08-03,127.970001,129.389999,127.419998,128.449997,128.449997,20089500
2023-08-04,129.279999,131.509995,127.910004,128.110001,128.110001,26130000
2023-08-07,129.160004,131.610001,129.020004,131.529999,131.529999,22746300
2023-08-08,130.619995,131.509995,129.539993,131.399994,131.399994,23535200
2023-08-09,131.660004,132.039993,129.000000,129.660004,129.660004,24912900
2023-08-10,131.320007,132.050003,129.449997,129.690002,129.690002,20857800
2023-08-11,128.660004,129.929993,128.169998,129.559998,129.559998,19569200
2023-08-14,129.389999,131.369995,128.960007,131.330002,131.330002,24695600
2023-08-15,131.100006,131.419998,129.279999,129.779999,129.779999,19770700
2023-08-16,128.699997,130.279999,127.870003,128.699997,128.699997,25216100
2023-08-17,129.800003,131.990005,129.289993,129.919998,129.919998,33446300
2023-08-18,128.509995,129.250000,126.379997,127.459999,127.459999,30491300
2023-08-21,127.180000,128.729996,126.559998,128.369995,128.369995,25248700
2023-08-22,128.509995,130.279999,128.320007,129.080002,129.080002,22067500
2023-08-23,130.179993,133.410004,129.869995,132.369995,132.369995,27819700
2023-08-24,133.949997,134.250000,129.570007,129.779999,129.779999,28500700
2023-08-25,129.539993,130.759995,127.250000,129.880005,129.880005,26762900
2023-08-28,131.309998,132.539993,130.139999,131.009995,131.009995,20543300
2023-08-29,132.240005,136.570007,132.240005,134.570007,134.570007,43075600
2023-08-30,134.779999,136.279999,134.070007,135.880005,135.880005,28315800
2023-08-31,136.009995,138.000000,135.789993,136.169998,136.169998,30053800
2023-09-01,137.460007,137.460007,134.850006,135.660004,135.660004,21524600
2023-09-05,135.440002,136.419998,134.580002,135.770004,135.770004,19403100
2023-09-06,136.020004,136.529999,133.669998,134.460007,134.460007,18684500
2023-09-07,133.589996,135.580002,132.949997,135.259995,135.259995,18844300
2023-09-08,134.910004,136.660004,134.850006,136.380005,136.380005,23558300
2023-09-11,136.539993,137.479996,135.789993,136.919998,136.919998,20763400
2023-09-12,136.259995,136.869995,135.190002,135.339996,135.339996,18405500
2023-09-13,135.089996,136.899994,134.149994,136.710007,136.710007,20749500
2023-09-14,137.600006,138.699997,136.240005,138.100006,138.100006,24751000
